GO.ID	Name	Frequency
GO:0017148	negative regulation of translation	5082
GO:0006511	ubiquitin-dependent protein catabolic process	5020
GO:0006865	amino acid transport	5007
GO:0018205	peptidyl-lysine modification	4993
GO:0042148	DNA strand invasion	4985
GO:0031398	positive regulation of protein ubiquitination	4980
GO:0051443	positive regulation of ubiquitin-protein transferase activity	4956
GO:0051438	regulation of ubiquitin-protein transferase activity	4956
GO:0006750	glutathione biosynthetic process	4932
GO:0015977	carbon fixation	4906
GO:0030163	protein catabolic process	4897
GO:0051603	proteolysis involved in protein catabolic process	4897
GO:0019941	modification-dependent protein catabolic process	4897
GO:0043632	modification-dependent macromolecule catabolic process	4897
GO:1901565	organonitrogen compound catabolic process	4897
GO:1901998	obsolete toxin transport	4879
GO:0050779	RNA destabilization	4878
GO:0061157	mRNA destabilization	4878
GO:0061014	positive regulation of mRNA catabolic process	4878
GO:0009896	positive regulation of catabolic process	4878
GO:1903313	positive regulation of mRNA metabolic process	4878
GO:0043488	regulation of mRNA stability	4878
GO:0043487	regulation of RNA stability	4878
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	4878
GO:1903322	positive regulation of protein modification by small protein conjugation or removal	4872
GO:0009768	photosynthesis, light harvesting in photosystem I	4844
GO:0031396	regulation of protein ubiquitination	4841
GO:0031297	replication fork processing	4841
GO:0015979	photosynthesis	4817
GO:0009687	abscisic acid metabolic process	4817
GO:0042439	ethanolamine-containing compound metabolic process	4817
GO:0043288	apocarotenoid metabolic process	4817
GO:0070291	N-acylethanolamine metabolic process	4817
GO:0009688	abscisic acid biosynthetic process	4817
GO:0010115	regulation of abscisic acid biosynthetic process	4817
GO:0010116	positive regulation of abscisic acid biosynthetic process	4817
GO:0043289	apocarotenoid biosynthetic process	4817
GO:1902645	tertiary alcohol biosynthetic process	4817
GO:1902930	regulation of alcohol biosynthetic process	4817
GO:1902932	positive regulation of alcohol biosynthetic process	4817
GO:1905613	regulation of developmental vegetative growth	4817
GO:1905615	positive regulation of developmental vegetative growth	4817
GO:0009267	cellular response to starvation	4792
GO:0051094	positive regulation of developmental process	4725
GO:0019684	photosynthesis, light reaction	4724
GO:0006290	pyrimidine dimer repair	4709
GO:0019725	cellular homeostasis	4677
GO:0010638	positive regulation of organelle organization	4673
GO:0045116	protein neddylation	4668
GO:0052863	1-deoxy-D-xylulose 5-phosphate metabolic process	4657
GO:0052865	1-deoxy-D-xylulose 5-phosphate biosynthetic process	4657
GO:0009650	UV protection	4640
GO:0010114	response to red light	4631
GO:0097428	protein maturation by iron-sulfur cluster transfer	4620
GO:0009152	purine ribonucleotide biosynthetic process	4612
GO:0034502	protein localization to chromosome	4612
GO:0009767	photosynthetic electron transport chain	4602
GO:0009639	response to red or far red light	4598
GO:0009765	photosynthesis, light harvesting	4596
GO:1902644	tertiary alcohol metabolic process	4596
GO:0031331	positive regulation of cellular catabolic process	4596
GO:0016036	cellular response to phosphate starvation	4596
GO:0048639	positive regulation of developmental growth	4596
GO:0051716	cellular response to stimulus	4596
GO:0019722	calcium-mediated signaling	4596
GO:0019932	obsolete second-messenger-mediated signaling	4596
GO:0031329	regulation of cellular catabolic process	4596
GO:0042594	response to starvation	4596
GO:0080186	developmental vegetative growth	4596
GO:0006479	protein methylation	4596
GO:0008213	protein alkylation	4596
GO:0043647	inositol phosphate metabolic process	4518
GO:0046174	polyol catabolic process	4518
GO:0048193	Golgi vesicle transport	4513
GO:0019566	arabinose metabolic process	4412
GO:0046373	L-arabinose metabolic process	4412
GO:0034660	obsolete ncRNA metabolic process	4403
GO:0032392	DNA geometric change	4269
GO:0032508	DNA duplex unwinding	4269
GO:0098876	vesicle-mediated transport to the plasma membrane	4259
GO:0051261	protein depolymerization	4243
GO:0009260	ribonucleotide biosynthetic process	4233
GO:0046390	ribose phosphate biosynthetic process	4233
GO:0006722	triterpenoid metabolic process	4162
GO:0016104	triterpenoid biosynthetic process	4162
GO:0048440	carpel development	4153
GO:0048467	gynoecium development	4153
GO:0006528	asparagine metabolic process	4047
GO:0006529	asparagine biosynthetic process	4047
GO:0007032	endosome organization	4018
GO:0051030	snRNA transport	3994
GO:0071407	cellular response to organic cyclic compound	3861
GO:0048268	clathrin coat assembly	3851
GO:0010584	pollen exine formation	3765
GO:0006560	proline metabolic process	3706
GO:0019184	nonribosomal peptide biosynthetic process	3702
GO:0032456	endocytic recycling	3687
GO:0008150	biological_process	3686
GO:0006562	proline catabolic process	3668
GO:1903241	U2-type prespliceosome assembly	3646
GO:0018026	peptidyl-lysine monomethylation	3645
GO:0022618	protein-RNA complex assembly	3636
GO:0071826	protein-RNA complex organization	3636
GO:0000959	mitochondrial RNA metabolic process	3633
GO:0006271	DNA strand elongation involved in DNA replication	3586
GO:0022616	DNA strand elongation	3586
GO:0006203	dGTP catabolic process	3556
GO:0009146	purine nucleoside triphosphate catabolic process	3556
GO:0009151	purine deoxyribonucleotide metabolic process	3556
GO:0009155	purine deoxyribonucleotide catabolic process	3556
GO:0009215	purine deoxyribonucleoside triphosphate metabolic process	3556
GO:0009217	purine deoxyribonucleoside triphosphate catabolic process	3556
GO:0046070	dGTP metabolic process	3556
GO:0046386	deoxyribose phosphate catabolic process	3556
GO:0030097	hemopoiesis	3552
GO:0048534	hematopoietic or lymphoid organ development	3552
GO:0002520	immune system development	3552
GO:0071985	multivesicular body sorting pathway	3535
GO:0031440	regulation of mRNA 3'-end processing	3521
GO:0001732	formation of cytoplasmic translation initiation complex	3513
GO:0006814	sodium ion transport	3506
GO:0000963	mitochondrial RNA processing	3504
GO:0010942	obsolete positive regulation of cell death	3504
GO:0015695	organic cation transport	3504
GO:0015805	S-adenosyl-L-methionine transport	3504
GO:1901962	S-adenosyl-L-methionine transmembrane transport	3504
GO:0071241	obsolete cellular response to inorganic substance	3493
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	3489
GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	3489
GO:0035821	modulation of process of another organism	3482
GO:0090333	regulation of stomatal closure	3471
GO:0090332	stomatal closure	3471
GO:0042256	cytosolic ribosome assembly	3470
GO:0051341	regulation of oxidoreductase activity	3430
GO:0051353	positive regulation of oxidoreductase activity	3430
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3430
GO:0097061	dendritic spine organization	3425
GO:0106027	neuron projection organization	3425
GO:0101030	tRNA-guanine transglycosylation	3421
GO:0080156	mitochondrial mRNA modification	3421
GO:0009065	glutamine family amino acid catabolic process	3414
GO:0006882	intracellular zinc ion homeostasis	3409
GO:0030433	obsolete ubiquitin-dependent ERAD pathway	3407
GO:0036503	ERAD pathway	3407
GO:0006399	tRNA metabolic process	3406
GO:0009204	deoxyribonucleoside triphosphate catabolic process	3400
GO:0032409	regulation of transporter activity	3381
GO:0051014	actin filament severing	3381
GO:0006553	lysine metabolic process	3377
GO:0009085	lysine biosynthetic process	3377
GO:0009089	lysine biosynthetic process via diaminopimelate	3377
GO:0046451	diaminopimelate metabolic process	3377
GO:0002521	leukocyte differentiation	3376
GO:0002573	myeloid leukocyte differentiation	3376
GO:0030099	myeloid cell differentiation	3376
GO:0030224	monocyte differentiation	3376
GO:1903131	mononuclear cell differentiation	3376
GO:0055069	obsolete zinc ion homeostasis	3376
GO:0098655	monoatomic cation transmembrane transport	3376
GO:0030641	regulation of cellular pH	3376
GO:0048513	animal organ development	3376
GO:0051453	regulation of intracellular pH	3376
GO:0098659	inorganic cation import across plasma membrane	3376
GO:0098719	sodium ion import across plasma membrane	3376
GO:0099587	inorganic ion import across plasma membrane	3376
GO:0030050	vesicle transport along actin filament	3366
GO:0099515	actin filament-based transport	3366
GO:0099518	vesicle cytoskeletal trafficking	3366
GO:0008544	epidermis development	3348
GO:0060429	epithelium development	3348
GO:0006885	regulation of pH	3348
GO:0009245	lipid A biosynthetic process	3348
GO:0046493	lipid A metabolic process	3348
GO:1901269	lipooligosaccharide metabolic process	3348
GO:1901271	lipooligosaccharide biosynthetic process	3348
GO:0051592	response to calcium ion	3348
GO:0071277	cellular response to calcium ion	3348
GO:0015994	chlorophyll metabolic process	3348
GO:1900864	mitochondrial RNA modification	3348
GO:0034293	sexual sporulation	3348
GO:0043934	sporulation	3348
GO:0048236	plant-type sporogenesis	3348
GO:0006598	polyamine catabolic process	3347
GO:0071951	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	3328
GO:0019988	charged-tRNA amino acid modification	3328
GO:0070536	protein K63-linked deubiquitination	3310
GO:0000244	spliceosomal tri-snRNP complex assembly	3309
GO:0030029	actin filament-based process	3306
GO:0009310	amine catabolic process	3301
GO:0042402	cellular biogenic amine catabolic process	3301
GO:0019673	GDP-mannose metabolic process	3264
GO:0006828	manganese ion transport	3256
GO:0071421	manganese ion transmembrane transport	3256
GO:0032204	regulation of telomere maintenance	3246
GO:0097064	obsolete ncRNA export from nucleus	3234
GO:0030048	actin filament-based movement	3219
GO:0016482	cytosolic transport	3211
GO:0045022	early endosome to late endosome transport	3211
GO:0098927	vesicle-mediated transport between endosomal compartments	3211
GO:0006272	leading strand elongation	3205
GO:0006287	base-excision repair, gap-filling	3205
GO:0006297	nucleotide-excision repair, DNA gap filling	3205
GO:0045004	DNA replication proofreading	3205
GO:0006164	purine nucleotide biosynthetic process	3205
GO:0072522	purine-containing compound biosynthetic process	3205
GO:0032200	telomere organization	3205
GO:0000481	maturation of 5S rRNA	3205
GO:0032205	negative regulation of telomere maintenance	3205
GO:0032211	negative regulation of telomere maintenance via telomerase	3205
GO:0051972	regulation of telomerase activity	3205
GO:0051974	negative regulation of telomerase activity	3205
GO:1904357	negative regulation of telomere maintenance via telomere lengthening	3205
GO:2000279	negative regulation of DNA biosynthetic process	3205
GO:0009201	ribonucleoside triphosphate biosynthetic process	3205
GO:0009145	purine nucleoside triphosphate biosynthetic process	3205
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	3205
GO:1904356	regulation of telomere maintenance via telomere lengthening	3205
GO:2000278	regulation of DNA biosynthetic process	3205
GO:0009142	nucleoside triphosphate biosynthetic process	3205
GO:0009615	response to virus	3205
GO:0000723	telomere maintenance	3205
GO:0009298	GDP-mannose biosynthetic process	3174
GO:0048646	anatomical structure formation involved in morphogenesis	3173
GO:0009651	response to salt stress	3095
GO:0009266	response to temperature stimulus	3074
GO:0044283	small molecule biosynthetic process	2936
GO:0007049	cell cycle	2837
GO:0010035	obsolete response to inorganic substance	2740
GO:0001505	obsolete regulation of neurotransmitter levels	2732
GO:0042133	obsolete neurotransmitter metabolic process	2732
GO:0009443	pyridoxal 5'-phosphate salvage	2690
GO:0009415	response to water	2673
GO:0009414	response to water deprivation	2673
GO:0006970	response to osmotic stress	2648
GO:0009987	cellular process	2566
GO:0003006	developmental process involved in reproduction	2556
GO:0048608	reproductive structure development	2556
GO:0061458	reproductive system development	2556
GO:0008152	metabolic process	2550
GO:0009072	aromatic amino acid metabolic process	2545
GO:0061025	membrane fusion	2527
GO:0048229	gametophyte development	2479
GO:0044265	obsolete cellular macromolecule catabolic process	2471
GO:0035601	protein deacylation	2452
GO:0042742	defense response to bacterium	2414
GO:0010208	pollen wall assembly	2405
GO:0009642	response to light intensity	2370
GO:0009685	gibberellin metabolic process	2352
GO:0042752	regulation of circadian rhythm	2351
GO:1901575	obsolete organic substance catabolic process	2332
GO:0000019	regulation of mitotic recombination	2329
GO:0045951	positive regulation of mitotic recombination	2329
GO:2000014	regulation of endosperm development	2329
GO:0009646	response to absence of light	2329
GO:0006312	mitotic recombination	2329
GO:0045911	positive regulation of DNA recombination	2329
GO:0009960	endosperm development	2329
GO:0009725	response to hormone	2322
GO:0042335	cuticle development	2318
GO:0009056	catabolic process	2318
GO:0034637	obsolete cellular carbohydrate biosynthetic process	2295
GO:0009409	response to cold	2282
GO:0002764	immune response-regulating signaling pathway	2279
GO:0006805	xenobiotic metabolic process	2273
GO:0009821	alkaloid biosynthetic process	2273
GO:0033075	isoquinoline alkaloid biosynthetic process	2273
GO:0033076	isoquinoline alkaloid metabolic process	2273
GO:0071272	morphine metabolic process	2273
GO:0071466	cellular response to xenobiotic stimulus	2273
GO:0097295	morphine biosynthetic process	2273
GO:1901376	organic heteropentacyclic compound metabolic process	2273
GO:1901378	organic heteropentacyclic compound biosynthetic process	2273
GO:0009410	response to xenobiotic stimulus	2273
GO:0010241	ent-kaurene oxidation to kaurenoic acid	2273
GO:0033331	ent-kaurene metabolic process	2273
GO:0010555	response to mannitol	2262
GO:0080110	sporopollenin biosynthetic process	2262
GO:0009555	pollen development	2262
GO:1990937	xylan acetylation	2248
GO:0010411	xyloglucan metabolic process	2248
GO:0009738	abscisic acid-activated signaling pathway	2243
GO:0071215	cellular response to abscisic acid stimulus	2243
GO:0097306	cellular response to alcohol	2243
GO:0009095	aromatic amino acid family biosynthetic process, prephenate pathway	2241
GO:0051246	regulation of protein metabolic process	2218
GO:0000028	ribosomal small subunit assembly	2206
GO:0009664	plant-type cell wall organization	2200
GO:0006558	L-phenylalanine metabolic process	2200
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process	2200
GO:0007023	post-chaperonin tubulin folding pathway	2200
GO:0030041	actin filament polymerization	2200
GO:0030833	regulation of actin filament polymerization	2200
GO:0032271	regulation of protein polymerization	2200
GO:0006559	L-phenylalanine catabolic process	2200
GO:1902222	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	2200
GO:0008064	regulation of actin polymerization or depolymerization	2200
GO:0030832	regulation of actin filament length	2200
GO:0110053	regulation of actin filament organization	2200
GO:1902903	regulation of supramolecular fiber organization	2200
GO:0018215	protein phosphopantetheinylation	2200
GO:0032956	regulation of actin cytoskeleton organization	2200
GO:0043254	regulation of protein-containing complex assembly	2200
GO:0008154	actin polymerization or depolymerization	2200
GO:0006490	oligosaccharide-lipid intermediate biosynthetic process	2200
GO:0046271	phenylpropanoid catabolic process	2200
GO:0046274	lignin catabolic process	2200
GO:0032970	regulation of actin filament-based process	2200
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	2200
GO:0070972	protein localization to endoplasmic reticulum	2200
GO:0044237	cellular metabolic process	2142
GO:0032875	regulation of DNA endoreduplication	2135
GO:0006650	glycerophospholipid metabolic process	2126
GO:0046486	glycerolipid metabolic process	2126
GO:0044238	primary metabolic process	2125
GO:0005986	sucrose biosynthetic process	2119
GO:0070647	protein modification by small protein conjugation or removal	2115
GO:0000280	nuclear division	2076
GO:1903047	mitotic cell cycle process	2076
GO:0006874	intracellular calcium ion homeostasis	2014
GO:0055074	calcium ion homeostasis	2014
GO:0090329	regulation of DNA-templated DNA replication	2006
GO:0060250	germ-line stem-cell niche homeostasis	2002
GO:0000154	rRNA modification	1990
GO:0006275	regulation of DNA replication	1975
GO:0070588	calcium ion transmembrane transport	1962
GO:0006816	calcium ion transport	1962
GO:0006189	'de novo' IMP biosynthetic process	1918
GO:0051276	chromosome organization	1913
GO:0006090	pyruvate metabolic process	1902
GO:0048367	shoot system development	1877
GO:0031125	rRNA 3'-end processing	1873
GO:0009250	glucan biosynthetic process	1871
GO:0009967	positive regulation of signal transduction	1862
GO:0140053	mitochondrial gene expression	1857
GO:0097359	UDP-glucosylation	1833
GO:0000459	obsolete exonucleolytic trimming involved in rRNA processing	1824
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1824
GO:0046854	phosphatidylinositol phosphate biosynthetic process	1818
GO:0033692	obsolete cellular polysaccharide biosynthetic process	1808
GO:0000271	polysaccharide biosynthetic process	1808
GO:0016051	carbohydrate biosynthetic process	1808
GO:0000911	cytokinesis by cell plate formation	1770
GO:0006661	phosphatidylinositol biosynthetic process	1762
GO:0048024	regulation of mRNA splicing, via spliceosome	1748
GO:1901701	cellular response to oxygen-containing compound	1731
GO:0071229	cellular response to acid chemical	1717
GO:0070887	cellular response to chemical stimulus	1717
GO:0071704	obsolete organic substance metabolic process	1717
GO:0046488	phosphatidylinositol metabolic process	1717
GO:0006898	receptor-mediated endocytosis	1710
GO:0072583	clathrin-dependent endocytosis	1710
GO:0051273	beta-glucan metabolic process	1707
GO:0070417	cellular response to cold	1698
GO:0048285	organelle fission	1695
GO:0000910	cytokinesis	1695
GO:0009057	macromolecule catabolic process	1686
GO:0030258	lipid modification	1683
GO:0008652	amino acid biosynthetic process	1673
GO:1901607	alpha-amino acid biosynthetic process	1673
GO:0044205	'de novo' UMP biosynthetic process	1671
GO:0046283	anthocyanin-containing compound metabolic process	1656
GO:0009157	deoxyribonucleoside monophosphate biosynthetic process	1647
GO:0009162	deoxyribonucleoside monophosphate metabolic process	1647
GO:0048584	positive regulation of response to stimulus	1632
GO:0044262	obsolete cellular carbohydrate metabolic process	1631
GO:0055081	monoatomic anion homeostasis	1616
GO:0071214	cellular response to abiotic stimulus	1606
GO:0104004	cellular response to environmental stimulus	1606
GO:0060260	regulation of transcription initiation by RNA polymerase II	1599
GO:0060261	positive regulation of transcription initiation by RNA polymerase II	1599
GO:2000144	positive regulation of DNA-templated transcription initiation	1599
GO:0046942	carboxylic acid transport	1597
GO:0015849	organic acid transport	1597
GO:0015711	organic anion transport	1597
GO:1901659	glycosyl compound biosynthetic process	1588
GO:0035966	response to topologically incorrect protein	1583
GO:0035967	cellular response to topologically incorrect protein	1583
GO:1900055	regulation of leaf senescence	1569
GO:0006643	membrane lipid metabolic process	1568
GO:0006664	glycolipid metabolic process	1568
GO:0050801	monoatomic ion homeostasis	1565
GO:0009218	pyrimidine ribonucleotide metabolic process	1562
GO:0009220	pyrimidine ribonucleotide biosynthetic process	1562
GO:0006241	CTP biosynthetic process	1562
GO:0009208	pyrimidine ribonucleoside triphosphate metabolic process	1562
GO:0009209	pyrimidine ribonucleoside triphosphate biosynthetic process	1562
GO:0046036	CTP metabolic process	1562
GO:0009147	pyrimidine nucleoside triphosphate metabolic process	1562
GO:0009148	pyrimidine nucleoside triphosphate biosynthetic process	1562
GO:0043153	entrainment of circadian clock by photoperiod	1559
GO:0009645	response to low light intensity stimulus	1559
GO:0009649	entrainment of circadian clock	1559
GO:0071103	DNA conformation change	1559
GO:0015713	phosphoglycerate transmembrane transport	1556
GO:0042873	aldonate transmembrane transport	1556
GO:0071248	cellular response to metal ion	1552
GO:0019432	triglyceride biosynthetic process	1544
GO:0046460	neutral lipid biosynthetic process	1544
GO:0046463	acylglycerol biosynthetic process	1544
GO:0006641	triglyceride metabolic process	1544
GO:0009098	L-leucine biosynthetic process	1543
GO:0019252	starch biosynthetic process	1537
GO:0005982	starch metabolic process	1537
GO:0045931	positive regulation of mitotic cell cycle	1536
GO:0010228	vegetative to reproductive phase transition of meristem	1536
GO:0048571	long-day photoperiodism	1532
GO:0048574	long-day photoperiodism, flowering	1532
GO:0009812	flavonoid metabolic process	1531
GO:0080178	5-carbamoylmethyl uridine residue modification	1530
GO:0006836	neurotransmitter transport	1529
GO:0006424	glutamyl-tRNA aminoacylation	1529
GO:0006508	proteolysis	1529
GO:0034330	cell junction organization	1524
GO:0008156	negative regulation of DNA replication	1521
GO:2000104	negative regulation of DNA-templated DNA replication	1521
GO:0051567	obsolete histone H3-K9 methylation	1520
GO:0006418	tRNA aminoacylation for protein translation	1519
GO:0006183	GTP biosynthetic process	1518
GO:0006228	UTP biosynthetic process	1518
GO:0046039	GTP metabolic process	1518
GO:0046051	UTP metabolic process	1518
GO:0010033	obsolete response to organic substance	1517
GO:0009719	response to endogenous stimulus	1517
GO:0010048	vernalization response	1516
GO:0016925	protein sumoylation	1515
GO:0031326	regulation of cellular biosynthetic process	1511
GO:0070897	transcription preinitiation complex assembly	1508
GO:0071236	cellular response to antibiotic	1504
GO:0071446	cellular response to salicylic acid stimulus	1504
GO:0032101	regulation of response to external stimulus	1504
GO:0015914	phospholipid transport	1503
GO:0006873	intracellular monoatomic ion homeostasis	1503
GO:0055082	intracellular chemical homeostasis	1503
GO:0016255	attachment of GPI anchor to protein	1498
GO:0071472	cellular response to salt stress	1493
GO:0071470	cellular response to osmotic stress	1493
GO:0071577	zinc ion transmembrane transport	1492
GO:0006829	zinc ion transport	1492
GO:0048564	photosystem I assembly	1492
GO:0006497	protein lipidation	1488
GO:0042158	lipoprotein biosynthetic process	1488
GO:0042157	lipoprotein metabolic process	1488
GO:0006996	organelle organization	1488
GO:0031118	rRNA pseudouridine synthesis	1486
GO:0051570	obsolete regulation of histone H3-K9 methylation	1484
GO:0000422	autophagy of mitochondrion	1483
GO:0061726	obsolete mitochondrion disassembly	1483
GO:0042550	photosystem I stabilization	1483
GO:0046474	glycerophospholipid biosynthetic process	1480
GO:0045017	glycerolipid biosynthetic process	1480
GO:0006644	phospholipid metabolic process	1480
GO:0008654	phospholipid biosynthetic process	1480
GO:0031167	rRNA methylation	1479
GO:0051560	mitochondrial calcium ion homeostasis	1479
GO:0009745	sucrose mediated signaling	1479
GO:0071324	cellular response to disaccharide stimulus	1479
GO:0071329	cellular response to sucrose stimulus	1479
GO:0034404	nucleobase-containing small molecule biosynthetic process	1477
GO:0019499	cyanide metabolic process	1477
GO:0009859	pollen hydration	1477
GO:0015801	aromatic amino acid transport	1477
GO:0080144	intracellular amino acid homeostasis	1477
GO:0089709	L-histidine transmembrane transport	1477
GO:0089718	amino acid import across plasma membrane	1477
GO:1903810	L-histidine import across plasma membrane	1477
GO:0031349	positive regulation of defense response	1476
GO:0048583	regulation of response to stimulus	1474
GO:0010216	obsolete negative regulation of gene expression via chromosomal DNA cytosine methylation	1474
GO:0010424	obsolete DNA methylation on cytosine within a CG sequence	1474
GO:0071310	obsolete cellular response to organic substance	1473
GO:0071495	cellular response to endogenous stimulus	1473
GO:0032870	cellular response to hormone stimulus	1473
GO:0009755	hormone-mediated signaling pathway	1473
GO:0006543	glutamine catabolic process	1473
GO:0045840	positive regulation of mitotic nuclear division	1473
GO:0045842	positive regulation of mitotic metaphase/anaphase transition	1473
GO:0051785	positive regulation of nuclear division	1473
