NumberGroups	NumberGenes	Classification	NumberGenotypes	Sample
15330	64640	hard-core	2	6
15330	64640	soft-core	2	6
0	0	accessory	2	6
84941	120182	exclusive	2	6
94604	173176	pan	2	7
14424	59504	hard-core	2	7
14424	59504	soft-core	2	7
0	0	accessory	2	7
80180	113672	exclusive	2	7
124574	243674	pan	2	8
25595	106724	hard-core	2	8
25595	106724	soft-core	2	8
0	0	accessory	2	8
98979	136950	exclusive	2	8
82328	145633	pan	2	9
15743	57852	hard-core	2	9
15743	57852	soft-core	2	9
0	0	accessory	2	9
66585	87781	exclusive	2	9
85565	151621	pan	2	10
13349	52734	hard-core	2	10
13349	52734	soft-core	2	10
0	0	accessory	2	10
72216	98887	exclusive	2	10
112295	215282	pan	2	11
21913	92135	hard-core	2	11
21913	92135	soft-core	2	11
0	0	accessory	2	11
90382	123147	exclusive	2	11
88891	167100	pan	2	12
22351	82945	hard-core	2	12
22351	82945	soft-core	2	12
0	0	accessory	2	12
66540	84155	exclusive	2	12
99186	176287	pan	2	13
20166	72824	hard-core	2	13
20166	72824	soft-core	2	13
0	0	accessory	2	13
79020	103463	exclusive	2	13
99194	179565	pan	2	14
13190	52844	hard-core	2	14
13190	52844	soft-core	2	14
0	0	accessory	2	14
86004	126721	exclusive	2	14
152418	302809	pan	2	15
23963	107911	hard-core	2	15
23963	107911	soft-core	2	15
0	0	accessory	2	15
128455	194898	exclusive	2	15
82644	150753	pan	2	16
13711	54235	hard-core	2	16
13711	54235	soft-core	2	16
0	0	accessory	2	16
68933	96518	exclusive	2	16
80798	146989	pan	2	17
19402	70314	hard-core	2	17
19402	70314	soft-core	2	17
0	0	accessory	2	17
61396	76675	exclusive	2	17
221765	508039	pan	2	18
35300	174911	hard-core	2	18
35300	174911	soft-core	2	18
0	0	accessory	2	18
186465	333128	exclusive	2	18
98495	177159	pan	2	19
13657	55961	hard-core	2	19
13657	55961	soft-core	2	19
0	0	accessory	2	19
84838	121198	exclusive	2	19
109184	217296	pan	3	0
8834	55076	hard-core	3	0
8834	55076	soft-core	3	0
15942	48615	accessory	3	0
84408	113605	exclusive	3	0
113448	233647	pan	3	1
7503	50862	hard-core	3	1
7503	50862	soft-core	3	1
16321	59663	accessory	3	1
89624	123122	exclusive	3	1
190713	382326	pan	3	2
10638	75714	hard-core	3	2
10638	75714	soft-core	3	2
26874	91007	accessory	3	2
153201	215605	exclusive	3	2
136266	278662	pan	3	3
9414	66768	hard-core	3	3
9414	66768	soft-core	3	3
19566	66967	accessory	3	3
107286	144927	exclusive	3	3
128384	251711	pan	3	4
9570	60944	hard-core	3	4
9570	60944	soft-core	3	4
18852	60542	accessory	3	4
99962	130225	exclusive	3	4
183458	405030	pan	3	5
14158	108249	hard-core	3	5
14158	108249	soft-core	3	5
29368	104338	accessory	3	5
139932	192443	exclusive	3	5
147696	311360	pan	3	6
10903	79073	hard-core	3	6
10903	79073	soft-core	3	6
23954	82870	accessory	3	6
112839	149417	exclusive	3	6
186583	374515	pan	3	7
12211	85903	hard-core	3	7
12211	85903	soft-core	3	7
22819	70858	accessory	3	7
151553	217754	exclusive	3	7
119799	243908	pan	3	8
8768	58134	hard-core	3	8
8768	58134	soft-core	3	8
17896	61074	accessory	3	8
93135	124700	exclusive	3	8
178709	384206	pan	3	9
12606	93869	hard-core	3	9
12606	93869	soft-core	3	9
26985	96885	accessory	3	9
139118	193452	exclusive	3	9
123681	276523	pan	3	10
15614	102527	hard-core	3	10
15614	102527	soft-core	3	10
21943	65396	accessory	3	10
86124	108600	exclusive	3	10
121291	242779	pan	3	11
7138	47870	hard-core	3	11
7138	47870	soft-core	3	11
17389	62458	accessory	3	11
96764	132451	exclusive	3	11
123335	239623	pan	3	12
9149	57291	hard-core	3	12
9149	57291	soft-core	3	12
18348	58603	accessory	3	12
95838	123729	exclusive	3	12
124686	244659	pan	3	13
6107	38762	hard-core	3	13
6107	38762	soft-core	3	13
17639	65792	accessory	3	13
100940	140105	exclusive	3	13
135087	303794	pan	3	14
14234	100822	hard-core	3	14
14234	100822	soft-core	3	14
23631	76403	accessory	3	14
97222	126569	exclusive	3	14
114725	226262	pan	3	15
7497	45757	hard-core	3	15
7497	45757	soft-core	3	15
19979	66229	accessory	3	15
87249	114276	exclusive	3	15
138009	289874	pan	3	16
10219	73088	hard-core	3	16
10219	73088	soft-core	3	16
23486	81126	accessory	3	16
104304	135660	exclusive	3	16
97057	181784	pan	3	17
6102	34188	hard-core	3	17
6102	34188	soft-core	3	17
13850	43091	accessory	3	17
77105	104505	exclusive	3	17
121220	258922	pan	3	18
9661	66271	hard-core	3	18
9661	66271	soft-core	3	18
24836	84354	accessory	3	18
86723	108297	exclusive	3	18
145658	291357	pan	3	19
9127	62346	hard-core	3	19
9127	62346	soft-core	3	19
20973	71595	accessory	3	19
115558	157416	exclusive	3	19
199356	432875	pan	4	0
5662	54824	hard-core	4	0
5662	54824	soft-core	4	0
39143	166119	accessory	4	0
154551	211932	exclusive	4	0
189651	401726	pan	4	1
3980	36733	hard-core	4	1
3980	36733	soft-core	4	1
39485	169572	accessory	4	1
146186	195421	exclusive	4	1
160194	336939	pan	4	2
5288	46810	hard-core	4	2
5288	46810	soft-core	4	2
31920	126371	accessory	4	2
122986	163758	exclusive	4	2
279610	697219	pan	4	3
8511	97781	hard-core	4	3
8511	97781	soft-core	4	3
60041	252282	accessory	4	3
211058	347156	exclusive	4	3
205163	456741	pan	4	4
7446	76190	hard-core	4	4
7446	76190	soft-core	4	4
43330	168949	accessory	4	4
154387	211602	exclusive	4	4
146009	333438	pan	4	5
8935	80917	hard-core	4	5
8935	80917	soft-core	4	5
35105	120422	accessory	4	5
101969	132099	exclusive	4	5
125861	280739	pan	4	6
5214	44864	hard-core	4	6
5214	44864	soft-core	4	6
29512	118757	accessory	4	6
91135	117118	exclusive	4	6
162970	407373	pan	4	7
10788	112122	hard-core	4	7
10788	112122	soft-core	4	7
39469	149147	accessory	4	7
112713	146104	exclusive	4	7
217320	487905	pan	4	8
7667	80191	hard-core	4	8
7667	80191	soft-core	4	8
46073	185298	accessory	4	8
163580	222416	exclusive	4	8
194493	480164	pan	4	9
12383	123804	hard-core	4	9
12383	123804	soft-core	4	9
51478	187994	accessory	4	9
130632	168366	exclusive	4	9
163830	356377	pan	4	10
8267	75374	hard-core	4	10
8267	75374	soft-core	4	10
32174	114733	accessory	4	10
123389	166270	exclusive	4	10
159760	343756	pan	4	11
8428	76848	hard-core	4	11
8428	76848	soft-core	4	11
31759	108558	accessory	4	11
119573	158350	exclusive	4	11
111133	220959	pan	4	12
4955	38404	hard-core	4	12
4955	38404	soft-core	4	12
24062	83059	accessory	4	12
82116	99496	exclusive	4	12
154771	348399	pan	4	13
8628	82137	hard-core	4	13
8628	82137	soft-core	4	13
34642	119478	accessory	4	13
111501	146784	exclusive	4	13
137138	302795	pan	4	14
7594	68177	hard-core	4	14
7594	68177	soft-core	4	14
30015	105927	accessory	4	14
99529	128691	exclusive	4	14
127346	298894	pan	4	15
10000	85000	hard-core	4	15
10000	85000	soft-core	4	15
34226	113400	accessory	4	15
83120	100494	exclusive	4	15
148119	332500	pan	4	16
7777	72930	hard-core	4	16
7777	72930	soft-core	4	16
33172	120402	accessory	4	16
107170	139168	exclusive	4	16
175458	381152	pan	4	17
7412	70761	hard-core	4	17
7412	70761	soft-core	4	17
38159	139691	accessory	4	17
129887	170700	exclusive	4	17
176479	422025	pan	4	18
8824	91119	hard-core	4	18
8824	91119	soft-core	4	18
41327	166458	accessory	4	18
126328	164448	exclusive	4	18
274973	681900	pan	4	19
7772	88945	hard-core	4	19
7772	88945	soft-core	4	19
58075	247230	accessory	4	19
209126	345725	exclusive	4	19
166683	392994	pan	5	0
5776	68815	hard-core	5	0
10481	106308	soft-core	5	0
40853	141959	accessory	5	0
115349	144727	exclusive	5	0
226645	551811	pan	5	1
6999	91498	hard-core	5	1
12129	134605	soft-core	5	1
55317	208765	accessory	5	1
159199	208441	exclusive	5	1
148819	346837	pan	5	2
4474	48318	hard-core	5	2
9033	86313	soft-core	5	2
35925	129738	accessory	5	2
103861	130786	exclusive	5	2
173818	417386	pan	5	3
6751	80032	hard-core	5	3
12674	126712	soft-core	5	3
42221	139789	accessory	5	3
118923	150885	exclusive	5	3
165158	406566	pan	5	4
7290	86903	hard-core	5	4
14234	138029	soft-core	5	4
39111	124416	accessory	5	4
111813	144121	exclusive	5	4
232370	601679	pan	5	5
9225	124100	hard-core	5	5
17045	193162	soft-core	5	5
56112	200715	accessory	5	5
159213	207802	exclusive	5	5
217246	498883	pan	5	6
4797	56674	hard-core	5	6
10627	109858	soft-core	5	6
47364	177330	accessory	5	6
159255	211695	exclusive	5	6
213492	509109	pan	5	7
7853	96094	hard-core	5	7
15002	150150	soft-core	5	7
42195	137001	accessory	5	7
156295	221958	exclusive	5	7
231412	548826	pan	5	8
6477	80588	hard-core	5	8
12141	129216	soft-core	5	8
53829	198241	accessory	5	8
165442	221369	exclusive	5	8
177129	377017	pan	5	9
3795	39889	hard-core	5	9
7959	74697	soft-core	5	9
39859	139367	accessory	5	9
129311	162953	exclusive	5	9
218006	511340	pan	5	10
4508	53115	hard-core	5	10
11289	118073	soft-core	5	10
44651	173832	accessory	5	10
162066	219435	exclusive	5	10
218579	518795	pan	5	11
5872	74217	hard-core	5	11
11135	121388	soft-core	5	11
49653	188050	accessory	5	11
157791	209357	exclusive	5	11
161970	376205	pan	5	12
4439	48489	hard-core	5	12
8050	77642	soft-core	5	12
37081	141247	accessory	5	12
116839	157316	exclusive	5	12
218959	533445	pan	5	13
8186	103221	hard-core	5	13
14571	152817	soft-core	5	13
51073	177313	accessory	5	13
153315	203315	exclusive	5	13
215593	489768	pan	5	14
3149	35897	hard-core	5	14
9306	93858	soft-core	5	14
49370	189887	accessory	5	14
156917	206023	exclusive	5	14
229071	578277	pan	5	15
4085	52163	hard-core	5	15
10619	112266	soft-core	5	15
48663	185529	accessory	5	15
169789	280482	exclusive	5	15
219123	515709	pan	5	16
6143	76089	hard-core	5	16
11503	120661	soft-core	5	16
50529	186540	accessory	5	16
157091	208508	exclusive	5	16
179454	434833	pan	5	17
6048	73026	hard-core	5	17
11413	117830	soft-core	5	17
42647	155615	accessory	5	17
125394	161388	exclusive	5	17
205543	496254	pan	5	18
6414	80459	hard-core	5	18
12010	128962	soft-core	5	18
51252	184237	accessory	5	18
142281	183055	exclusive	5	18
237250	609721	pan	5	19
6862	89185	hard-core	5	19
13060	139003	soft-core	5	19
46297	164183	accessory	5	19
177893	306535	exclusive	5	19
208880	525083	pan	6	0
4747	67357	hard-core	6	0
9658	123727	soft-core	6	0
55226	220121	accessory	6	0
143996	181235	exclusive	6	0
249947	636058	pan	6	1
6592	99575	hard-core	6	1
10963	146491	soft-core	6	1
69242	268009	accessory	6	1
169742	221558	exclusive	6	1
282734	781594	pan	6	2
6820	111371	hard-core	6	2
13686	192744	soft-core	6	2
90339	352746	accessory	6	2
178709	236104	exclusive	6	2
228734	522662	pan	6	3
3563	47015	hard-core	6	3
7134	86344	soft-core	6	3
56371	217843	accessory	6	3
165229	218475	exclusive	6	3
222116	568531	pan	6	4
5616	84923	hard-core	6	4
9946	134120	soft-core	6	4
63077	242611	accessory	6	4
149093	191800	exclusive	6	4
188163	488323	pan	6	5
5230	77516	hard-core	6	5
8536	112949	soft-core	6	5
56445	221027	accessory	6	5
123182	154347	exclusive	6	5
228788	562244	pan	6	6
4204	59574	hard-core	6	6
8298	108564	soft-core	6	6
57848	237267	accessory	6	6
162642	216413	exclusive	6	6
201364	476357	pan	6	7
2720	37334	hard-core	6	7
6722	83522	soft-core	6	7
53124	216063	accessory	6	7
141518	176772	exclusive	6	7
231424	581725	pan	6	8
5309	78583	hard-core	6	8
9588	128826	soft-core	6	8
64947	254761	accessory	6	8
156889	198138	exclusive	6	8
176194	431442	pan	6	9
4209	55659	hard-core	6	9
8303	100070	soft-core	6	9
47848	179412	accessory	6	9
120043	151960	exclusive	6	9
189436	449039	pan	6	10
3593	49872	hard-core	6	10
7681	95339	soft-core	6	10
50293	189839	accessory	6	10
131462	163861	exclusive	6	10
257651	681002	pan	6	11
5532	86102	hard-core	6	11
10438	145905	soft-core	6	11
76900	314825	accessory	6	11
170313	220272	exclusive	6	11
191867	528845	pan	6	12
6135	94451	hard-core	6	12
9724	132916	soft-core	6	12
61514	247329	accessory	6	12
120629	148600	exclusive	6	12
248486	601873	pan	6	13
4866	71676	hard-core	6	13
9469	124891	soft-core	6	13
64014	248477	accessory	6	13
175003	228505	exclusive	6	13
309645	852047	pan	6	14
6315	108069	hard-core	6	14
10924	163725	soft-core	6	14
80235	335824	accessory	6	14
218486	352498	exclusive	6	14
191091	508167	pan	6	15
6368	89280	hard-core	6	15
10089	127532	soft-core	6	15
61475	231234	accessory	6	15
119527	149401	exclusive	6	15
222907	554000	pan	6	16
4995	73773	hard-core	6	16
8934	119207	soft-core	6	16
61711	243672	accessory	6	16
152262	191121	exclusive	6	16
185093	468205	pan	6	17
5782	82659	hard-core	6	17
9664	121670	soft-core	6	17
53511	195566	accessory	6	17
121918	150969	exclusive	6	17
276132	775491	pan	6	18
7120	116760	hard-core	6	18
12253	173686	soft-core	6	18
71719	283341	accessory	6	18
192160	318464	exclusive	6	18
266050	735821	pan	6	19
7517	125990	hard-core	6	19
14947	212719	soft-core	6	19
78611	298162	accessory	6	19
172492	224940	exclusive	6	19
263669	757762	pan	7	0
6312	118438	hard-core	7	0
10215	172879	soft-core	7	0
89368	376209	accessory	7	0
164086	208674	exclusive	7	0
318834	939821	pan	7	1
5385	102282	hard-core	7	1
10587	183415	soft-core	7	1
94817	413743	accessory	7	1
213430	342663	exclusive	7	1
281117	791539	pan	7	2
4939	89585	hard-core	7	2
10207	170082	soft-core	7	2
91557	392758	accessory	7	2
179353	228699	exclusive	7	2
229367	651733	pan	7	3
6216	111904	hard-core	7	3
9588	156669	soft-core	7	3
76827	316499	accessory	7	3
142952	178565	exclusive	7	3
253310	654803	pan	7	4
2787	46031	hard-core	7	4
7042	106794	soft-core	7	4
72800	324092	accessory	7	4
173468	223917	exclusive	7	4
201244	536793	pan	7	5
5202	83237	hard-core	7	5
8397	123606	soft-core	7	5
64759	256211	accessory	7	5
128088	156976	exclusive	7	5
243794	698433	pan	7	6
5368	99477	hard-core	7	6
9276	156226	soft-core	7	6
81933	350429	accessory	7	6
152585	191778	exclusive	7	6
235429	631719	pan	7	7
4503	72874	hard-core	7	7
8410	130544	soft-core	7	7
72906	304671	accessory	7	7
154113	196504	exclusive	7	7
244209	728328	pan	7	8
5341	94959	hard-core	7	8
11078	178692	soft-core	7	8
87479	367789	accessory	7	8
145652	181847	exclusive	7	8
228775	646947	pan	7	9
6511	114787	hard-core	7	9
10068	161816	soft-core	7	9
76420	310221	accessory	7	9
142287	174910	exclusive	7	9
203993	544906	pan	7	10
5264	85185	hard-core	7	10
8326	123830	soft-core	7	10
65611	259452	accessory	7	10
130056	161624	exclusive	7	10
302484	864810	pan	7	11
6087	115668	hard-core	7	11
10100	170986	soft-core	7	11
87380	361724	accessory	7	11
205004	332100	exclusive	7	11
222393	562782	pan	7	12
3846	60400	hard-core	7	12
6940	102365	soft-core	7	12
67007	271728	accessory	7	12
148446	188689	exclusive	7	12
264980	719130	pan	7	13
4859	87062	hard-core	7	13
7788	128559	soft-core	7	13
81316	362192	accessory	7	13
175876	228379	exclusive	7	13
263951	722213	pan	7	14
6113	109929	hard-core	7	14
9708	158618	soft-core	7	14
81092	339212	accessory	7	14
173151	224383	exclusive	7	14
261948	707418	pan	7	15
5642	99446	hard-core	7	15
8819	142602	soft-core	7	15
80524	341999	accessory	7	15
172605	222817	exclusive	7	15
241159	684114	pan	7	16
5926	107434	hard-core	7	16
9605	158490	soft-core	7	16
80206	335624	accessory	7	16
151348	190000	exclusive	7	16
291054	830635	pan	7	17
4150	77672	hard-core	7	17
9912	170996	soft-core	7	17
96347	414892	accessory	7	17
184795	244747	exclusive	7	17
186256	469180	pan	7	18
3387	49563	hard-core	7	18
6392	89099	soft-core	7	18
54685	221904	accessory	7	18
125179	158177	exclusive	7	18
277548	762524	pan	7	19
3394	58419	hard-core	7	19
7981	130189	soft-core	7	19
89478	394699	accessory	7	19
180089	237636	exclusive	7	19
241632	694808	pan	8	0
5753	112575	hard-core	8	0
8570	155264	soft-core	8	0
84015	351393	accessory	8	0
149047	188151	exclusive	8	0
251039	746618	pan	8	1
5423	109595	hard-core	8	1
8132	153681	soft-core	8	1
90495	403594	accessory	8	1
152412	189343	exclusive	8	1
260628	742921	pan	8	2
3611	70709	hard-core	8	2
8025	144981	soft-core	8	2
88547	393328	accessory	8	2
164056	204612	exclusive	8	2
266874	726135	pan	8	3
5134	98442	hard-core	8	3
8077	144122	soft-core	8	3
82933	348817	accessory	8	3
175864	233196	exclusive	8	3
243970	691673	pan	8	4
3630	72372	hard-core	8	4
7043	131410	soft-core	8	4
82383	368490	accessory	8	4
154544	191773	exclusive	8	4
250378	745808	pan	8	5
5609	115579	hard-core	8	5
8611	164043	soft-core	8	5
88381	390264	accessory	8	5
153386	191501	exclusive	8	5
284572	799850	pan	8	6
4148	82256	hard-core	8	6
7704	147450	soft-core	8	6
93317	413647	accessory	8	6
183551	238753	exclusive	8	6
248431	769099	pan	8	7
5378	113646	hard-core	8	7
9749	188221	soft-core	8	7
88095	392873	accessory	8	7
150587	188005	exclusive	8	7
283490	788305	pan	8	8
4602	93606	hard-core	8	8
7216	137129	soft-core	8	8
92353	411052	accessory	8	8
183921	240124	exclusive	8	8
303362	921945	pan	8	9
5338	113112	hard-core	8	9
8579	170887	soft-core	8	9
110837	510163	accessory	8	9
183946	240895	exclusive	8	9
295444	849579	pan	8	10
4042	79789	hard-core	8	10
7782	149478	soft-core	8	10
101716	455464	accessory	8	10
185946	244637	exclusive	8	10
321245	952066	pan	8	11
5081	108527	hard-core	8	11
8142	160613	soft-core	8	11
103474	457761	accessory	8	11
209629	333692	exclusive	8	11
371495	1156436	pan	8	12
5305	123719	hard-core	8	12
8519	183082	soft-core	8	12
130497	603473	accessory	8	12
232479	369881	exclusive	8	12
258019	767474	pan	8	13
5721	118917	hard-core	8	13
8458	162144	soft-core	8	13
93404	408964	accessory	8	13
156157	196366	exclusive	8	13
321255	961646	pan	8	14
5166	112455	hard-core	8	14
8111	161945	soft-core	8	14
102906	466769	accessory	8	14
210238	332932	exclusive	8	14
238392	672920	pan	8	15
4722	92034	hard-core	8	15
7361	135108	soft-core	8	15
80337	348176	accessory	8	15
150694	189636	exclusive	8	15
239018	674085	pan	8	16
4378	83465	hard-core	8	16
7108	128308	soft-core	8	16
78756	355457	accessory	8	16
153154	190320	exclusive	8	16
230627	636716	pan	8	17
3300	60340	hard-core	8	17
6278	110486	soft-core	8	17
76402	340529	accessory	8	17
147947	185701	exclusive	8	17
308355	893848	pan	8	18
3537	70290	hard-core	8	18
7122	134123	soft-core	8	18
116571	519563	accessory	8	18
184662	240162	exclusive	8	18
247745	719263	pan	8	19
4833	98757	hard-core	8	19
7636	145643	soft-core	8	19
85897	378055	accessory	8	19
154212	195565	exclusive	8	19
261785	757940	pan	9	0
3560	75999	hard-core	9	0
6296	129585	soft-core	9	0
92524	422163	accessory	9	0
162965	206192	exclusive	9	0
295635	854003	pan	9	1
4309	96744	hard-core	9	1
7113	150936	soft-core	9	1
102288	464847	accessory	9	1
186234	238220	exclusive	9	1
273100	811927	pan	9	2
3866	83303	hard-core	9	2
6795	141895	soft-core	9	2
101182	463457	accessory	9	2
165123	206575	exclusive	9	2
300874	952020	pan	9	3
5862	134618	hard-core	9	3
9352	198026	soft-core	9	3
98481	434598	accessory	9	3
193041	319396	exclusive	9	3
293151	844435	pan	9	4
2999	64147	hard-core	9	4
5873	121390	soft-core	9	4
100561	482368	accessory	9	4
186717	240677	exclusive	9	4
281136	827864	pan	9	5
3443	76652	hard-core	9	5
6775	142666	soft-core	9	5
101586	469234	accessory	9	5
172775	215964	exclusive	9	5
279221	807866	pan	9	6
3359	72375	hard-core	9	6
5380	111346	soft-core	9	6
94309	458352	accessory	9	6
179532	238168	exclusive	9	6
335288	1073395	pan	9	7
5686	140675	hard-core	9	7
8451	194979	soft-core	9	7
133201	624443	accessory	9	7
193636	253973	exclusive	9	7
253540	779199	pan	9	8
4876	110610	hard-core	9	8
7249	155112	soft-core	9	8
94261	436497	accessory	9	8
152030	187590	exclusive	9	8
335487	1029526	pan	9	9
4686	108761	hard-core	9	9
7724	172119	soft-core	9	9
133597	606222	accessory	9	9
194166	251185	exclusive	9	9
293032	836085	pan	9	10
3130	65011	hard-core	9	10
5803	117072	soft-core	9	10
98480	477372	accessory	9	10
188749	241641	exclusive	9	10
284412	860164	pan	9	11
3914	84780	hard-core	9	11
7052	149274	soft-core	9	11
105882	494738	accessory	9	11
171478	216152	exclusive	9	11
308633	967055	pan	9	12
5381	130117	hard-core	9	12
8138	184963	soft-core	9	12
117951	547559	accessory	9	12
182544	234533	exclusive	9	12
373399	1198692	pan	9	13
4292	108987	hard-core	9	13
6899	164987	soft-core	9	13
136674	669508	accessory	9	13
229826	364197	exclusive	9	13
282867	822327	pan	9	14
3812	81899	hard-core	9	14
6847	143692	soft-core	9	14
96577	443512	accessory	9	14
179443	235123	exclusive	9	14
265709	772858	pan	9	15
3331	72101	hard-core	9	15
6648	135384	soft-core	9	15
94131	432221	accessory	9	15
164930	205253	exclusive	9	15
278501	794493	pan	9	16
4305	95108	hard-core	9	16
6522	136177	soft-core	9	16
94157	427287	accessory	9	16
177822	231029	exclusive	9	16
324206	1025263	pan	9	17
4180	98020	hard-core	9	17
7443	168892	soft-core	9	17
125195	603829	accessory	9	17
191568	252542	exclusive	9	17
296667	892698	pan	9	18
3821	86963	hard-core	9	18
6973	154191	soft-core	9	18
107809	504861	accessory	9	18
181885	233646	exclusive	9	18
247487	763885	pan	9	19
4715	105364	hard-core	9	19
7134	150144	soft-core	9	19
94620	435174	accessory	9	19
145733	178567	exclusive	9	19
271286	883583	pan	10	0
5119	127076	hard-core	10	0
9534	209393	soft-core	10	0
107905	486672	accessory	10	0
153847	187518	exclusive	10	0
386150	1233110	pan	10	1
3635	98131	hard-core	10	1
8598	205104	soft-core	10	1
145823	666421	accessory	10	1
231729	361585	exclusive	10	1
342664	1140089	pan	10	2
5143	137579	hard-core	10	2
9875	236413	soft-core	10	2
142399	657489	accessory	10	2
190390	246187	exclusive	10	2
300598	924948	pan	10	3
4676	117078	hard-core	10	3
9385	207618	soft-core	10	3
109729	480251	accessory	10	3
181484	237079	exclusive	10	3
274277	878356	pan	10	4
4197	99229	hard-core	10	4
10571	228487	soft-core	10	4
104256	447337	accessory	10	4
159450	202532	exclusive	10	4
342184	1107657	pan	10	5
4871	127243	hard-core	10	5
9526	222374	soft-core	10	5
141323	638382	accessory	10	5
191335	246901	exclusive	10	5
263967	805267	pan	10	6
2418	54605	hard-core	10	6
8588	176233	soft-core	10	6
94191	426698	accessory	10	6
161188	202336	exclusive	10	6
312190	995624	pan	10	7
5324	138305	hard-core	10	7
10321	235521	soft-core	10	7
117383	522302	accessory	10	7
184486	237801	exclusive	10	7
322882	963218	pan	10	8
3616	87545	hard-core	10	8
8436	184492	soft-core	10	8
121909	531313	accessory	10	8
192537	247413	exclusive	10	8
356830	1143246	pan	10	9
4717	126417	hard-core	10	9
9103	213961	soft-core	10	9
123378	575874	accessory	10	9
224349	353411	exclusive	10	9
340563	1067073	pan	10	10
3987	103306	hard-core	10	10
8730	203939	soft-core	10	10
134958	609862	accessory	10	10
196875	253272	exclusive	10	10
315410	1014807	pan	10	11
4420	117552	hard-core	10	11
8940	212084	soft-core	10	11
118700	562792	accessory	10	11
187770	239931	exclusive	10	11
304486	1002601	pan	10	12
3986	99231	hard-core	10	12
10409	238252	soft-core	10	12
118377	543566	accessory	10	12
175700	220783	exclusive	10	12
315131	1002730	pan	10	13
4649	119065	hard-core	10	13
9430	214369	soft-core	10	13
120162	552081	accessory	10	13
185539	236280	exclusive	10	13
308545	988514	pan	10	14
5288	139382	hard-core	10	14
10338	237400	soft-core	10	14
117443	518368	accessory	10	14
180764	232746	exclusive	10	14
